Entity;Type;Criteria;Request;SmartSearch label EN;SmartSearch label FR
Account;predicate;eqIdentifier;Account.identifier = '{identifierParam.value}';which identifier or CN/DN is equal to;dont l'identifiant ou CN/DN est égal à
Account;predicate;neIdentifier;(Account.identifier != '{identifierParam.value}') or (Account.identifier IS NULL);which identifier or CN/DN is not equal to;dont l'identifiant ou CN/DN n'est pas égal à
Account;predicate;inIdentifier;Account.identifier IN '{identifierParam.value}';which identifier or CN/DN is in;dont l'identifiant ou CN/DN est dans
Account;predicate;likeIdentifier;Account.identifier LIKE '{identifierParam.value}';which identifier or CN/DN contains;dont l'identifiant ou CN/DN contient
Account;predicate;startIdentifier;Account.identifier LIKE '{identifierParam.value}%';which identifier or CN/DN starts with;dont l'identifiant ou CN/DN démarre par
Account;predicate;endIdentifier;Account.identifier LIKE '%{identifierParam.value}';which identifier or CN/DN ends with;dont l'identifiant ou CN/DN se termine par
Account;predicate;inLogin;Account.login IN '{loginParam.value}';which login is in;dont le login est dans
Account;predicate;inRepoLogin;(Account.login IN '{loginParam.value}') and (Account/Repository.code = '{repoParam.value}');which repository/login is in;dont le référentiel/login est dans
Account;predicate;noManager;Account/Account.recordUid IS NULL;not having  a manager account;qui n'ont pas de compte responsable
Account;predicate;hasManager;Account/Account.recordUid IS NOT NULL;having  a manager account;qui ont un compte responsable
Account;predicate;noIdentityManager;Account/Manager.primaryKey.identity IS NULL;not having a manager;qui n'ont pas de responsable
Account;predicate;hasIdentityManager;Account/Manager.primaryKey.identity IS NOT NULL;having a manager;qui ont un responsable
Account;predicate;isNew;Account.importAction = 'C';new in this timeslot;nouveaux dans cette période
Account;predicate;isNotNew;Account.importAction != 'C';not new in this timeslot;pas nouveaux dans cette période
Account;predicate;isModified;Account.importAction = 'U';modified since previous timeslot;modifiés depuis la période précédente
Account;predicate;isNotModified;Account.importAction != 'U';new or identical to previous timeslot;nouveaux ou identiques à la période précédente
Account;predicate;isSame;Account.importAction = 'N';identical to the previous timeslot;identiques à la période précédente
Account;predicate;isNotSame;Account.importAction != 'N';new or modified since previous timeslot;nouveaux ou modifiés par rapport à la période précédente
Account;predicate;willBeDeleted;Account.deletedAction = '1';that do not exist in the next timeslot;n'existant plus dans la période d'analyse suivante
Account;predicate;wontBeDeleted;(Account.deletedAction = '0') or (Account.deletedAction IS NULL);that still exist in the next timeslot;existant dans la période d'analyse suivante
Account;predicate;ltCreationDate;Account.creationDate < '{creationDateParam.value}';which were created is less than;qui ont été créés est plus petit que
